348;Algorithmique : techniques fondamentales deprogrammation;Book ;IT 8001B3;1;Main;
349;Lyautey et l'institution de protectorat franáais au maroc :Tome 1;Book ;ISBN: 2858028540 ;HP20054B8;1;Main
350;Foire internationale de Casablanca 2017 ;Book ;PU26004B10;1;Main;
351;La langue d'Adam ;Book ;ISBN_13: 9782100543076 ;FR16066B5;1;Main
352;êconomie marocaine ;Book ;EF10007B3;1;Main;
353;Currents in hadron physics ;Book ;PH 1297B1;1;Main;
354;Algorithmique( techniques fondamentales de programmation)(DOUBLON);Book ;1;Main;;
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:4 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
355;Statistical Mechanics ;Book ;ISBN: 0471815187 ;DM27099B9;1;Main
356;la boite Ö outils du : marketing de soi ;Book ;ISBN_13: 9782100764662 ;DP19033B7;1;Main
357;La magie des traditions marocaines ;Book ;FR16068B5;1;Main;
358;Le sahara occidental marocain ;Book ;HP20044B8;1;Main;
359;mygale ;Book ;ISBN_13: 9782070466344 ;FR16161B5;1;Main
360;Turbulent flows ;Book ;ISBN_13: 9780521598866 ;PH 265B1;1;Main
361;Gauge fields and strings ;Book ;ISBN: 3718603934ISSN: 02722488;DM27031B9;1;Main
362;gauge theories in particle physics ;Book ;ISBN: 0852745346 ;DM27033B9;1;Main
363;Statistical field theory ;Book ;PH 1893B1;1;Main;
364;Surely you're joking mr. Feynman! ;Book ;ISBN_13: 9780099173311 ;LA 17067B5;1;Main
365;Statistical field theory ;Book ;DM27098B9;1;Main;
366;Currents in Hadron physics ;Book ;DM27025B9;1;Main;
366;la gouvernance du climat et le role du financement climatiqueau Maroc;Book ;HP20022B8;1;Main;
367;la gouvernance du climat et le role du financement climatiquequ Maroc;Book ;SH18015B6;1;Main;
368;Demain, je parle en public ;Book ;ISBN_13: 9782100512775 ;DP19013B7;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:4 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
369;êlÇments d'analyse et de contrìle des systämes ;Book ;ISBN_13: 9782914518604 ;MA6029B3;1;Main
370;êconomie du dÇveloppement ;Book ;EF10004B3;1;Main;
371;Organisez vos projets avec le mind mapping ;Book ;ISBN_13: 9782100770489 ;DP19059B7;1;Main
372;Act like a leader, think like a leader ;Book ;DP19001B7;1;Main;
373;Python 3 ;Book ;IT 8017B3;1;Main;
374;Introduction Ö la microÇconomie ;Book ;ISBN_13: 9782357452664 ;EF10013B3;1;Main
375;Approches du maghreb romain : 2 ;Book ;HP20004B8;1;Main;
376;objectifs et conception d'une base de donnÇes ;Book ;ISBN: 2901001041 ;IT 8014B3;1;Main
377;Presence ;Book ;ISBN_13: 9781409156017 ;DP19065B7;1;Main
378;Histoire geologique du maroc ;Book ;HP20015B8;1;Main;
379;les bronzes antiques du maroc ;Book ;HP20046B8;1;Main;
380;Les origines sociales et culturelles du nationalisme marocain(1830-1912);Book ;HP20049B8;1;Main;
381;Le maroc et le droit des peches maritimes ;Book ;ISBN: 2275010599 ;DR22002B8;1;Main
382;expression des besoins dans un projet SI : dÇmarche classiqueet approche agile;Book ;ISBN_13: 9782100763153 ;IT 8008B3;1;Main
383;êconomie du dÇveloppement ;Book ;ISBN_13: 9782200616335 ;EF10005B3;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:4 6/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
384;Les origines de la guerre du rif ;Book ;HP20048B8;1;Main;
385;drive : the suprising truth about what motivates us ;Book ;ISBN_13: 9781594484803 ;DP19014B7;1;Main
386;Solaire ExpoMaroc : catalogue officiel ;Book ;EN 3010B2;1;Main;
387;Finance d'entreprise ;Book ;ISBN_13: 9782357452817 ;EF10010B3;1;Main
388;Dictionnaire scientifique Anglais-Franáais ;Book ;ISBN_13: 9782100574681 ;DI24005B10;1;Main
389;les archives berbäres ;Book ;HP20045B8;1;Main;
390;MacroÇconomie ;Book ;ISBN_13: 9782357453241 ;EF10015B3;1;Main
391;une amitiÇ orageuse : moulay ismail et louis XIV ;Book ;ISBN: 2908801213 ;FR16195B5;1;Main
392;La grande travervÇe de l'atlas marocain ;Book ;HP20023B8;1;Main;
394;Çtique et croissance Çconomique ;Book ;EF10009B3;1;Main;
395;Le haute atlas central ;Book ;HP20025B8;1;Main;
396;Safety Promotion and Injury Prevention ;Book ;ISBN_13: 9789831001745 ;GI12019B4;1;Main
397;Maroc enchantÇ ;Book ;HP20057B8;1;Main;
398;Foire international de Casablanca ;Book ;PU26003B10;1;Main;
399;MOROCCO ;Book ;HP20059B8;1;Main;
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:4 7/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
400;Discours et interviews de S.M.HASSAN 2 ;Book ;HP20006B8;1;Main;
? Page 4 of 20, showing 100 records out of 1942 total, starting on record 301, ending on 400;;;;;;
;;;;;;
04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:4 8/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
401;le maroc raconte par ses femmes ;Book ;HP 20032B8;1;Main;
402;LA NATURE ;Book ;EC 23040B10;1;Main;
403;FES avant le protectorat ;Book ;HP 20009B8;1;Main;
404;Le memorial du Maroc - Volume 1 ;Book ;HP 20033B8;1;Main;
405;Le memorial du Maroc - Volume 3 ;Book ;HP 20035B8;1;Main;
406;Le memorial du Maroc - Volume 4 ;Book ;HP 20036B8;1;Main;
407;The New Encyclopaedia Britannica - Micropaedia 12 ;Book ;EC 23091B10;1;Main;
408;The New Encyclopaedia Britannica - Macropaedia 13 ;Book ;EC 23071B10;1;Main;
409;RÇvolution au Maroc ;Book ;HP 20064B8;1;Main;
410;Musulmans Andalous et JudÇo-Espagnols ;Book ;HP 20060B8;1;Main;
411;Voyage dans l'empire de Maroc ;Book ;FR 16199B5;1;Main;
412;The New Encyclopaedia Britannica - Micropaedia 11 ;Book ;EC 23090B10;1;Main;
413;The New Encyclopaedia Britannica - Micropaedia 10 ;Book ;EC 23089B10;1;Main;
414;The New Encyclopaedia Britannica - Micropaedia 9 ;Book ;EC 23099B10;1;Main;
415;The New Encyclopaedia Britannica - Micropaedia 8 ;Book ;EC 23098B10;1;Main;
416;The New Encyclopaedia Britannica - Micropaedia 4 ;Book ;EC 23094B10;1;Main;
417;The New Encyclopaedia Britannica - Micropaedia 1 ;Book ;EC 23088B10;1;Main;
418;Le Maroc et l'Europe - Tome 4 ;Book ;HP 20029B8;1;Main;
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:5 1/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
419;Le Maroc et l'Europe - Tome 5 ;Book ;HP 20030B8;1;Main;
420;Le Maroc et l'Europe - Tome 2 ;Book ;HP 20027B8;1;Main;
421;Le Maroc et l'Europe - Tome 3 ;Book ;HP 20028B8;1;Main;
422;Le Maroc et l'Europe - Tome 1 ;Book ;HP 20026B8;1;Main;
423;Promenade au Maroc ;Book ;HP 20063B8;1;Main;
424;Lyautey et l'institution de protectorat franáais au maroc :Tome 2;Book ;HP 20055B8;1;Main;
425;L'Espagne des maures ;Book ;HP 20051B8;1;Main;
426;Le Maroc moderne ;Book ;HP 20031B8;1;Main;
427;L'itinÇraire marocain ;Book ;HP 20053B8;1;Main;
428;La langue d'Adam ;Book ;ISBN_13: 9782100543076 ;FR 16066B5;2;Main
429;OPTIONS FUTURES & AUT. ACTIFS DERIVES 9E (ECOGESTION) (French Edition);Book ;ISBN: 2326000498ISBN_13: 9782326000490;EF 10019B3;2;Main
430;MacroÇconomie ;Book ;ISBN_13: 9782357453241 ;EF 10015B3;3;Main
431;MacroÇconomie ;Book ;ISBN_13: 9782357453241 ;EF 10015B3;4;Main
432;Apport de l'imagerie dans les hemangiomes vertebraux ;Book ;IT 8002B3;1;Main;
433;Code marocain annotÇ ;Book ;DR 22001B8;1;Main;
434;MANAGEMENT D'UN PROJET SYSTEME D'INFORMATION ;Book ;ISBN_13: 9782100749935 ;GI 12011B4;1;Main
435;You can change the world : the secret to reach successand leave a legacy in 3 iterations;Book ;ISBN_13: 9789920984423 ;DP 19091B7;1;Main
436;Encyclopaedia Universalis 4 ;Book ;EC 23011B10;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:5 2/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
437;Encyclopaedia universalis SYPOSIUM ;Book ;EC 23021B10;1;Main;
438;Encyclopaedia universalis 5 ;Book ;EC 23012B10;1;Main;
439;Encyclopaedia universalis 17 ;Book ;EC 23008B10;1;Main;
440;Encyclopaedia universalis 7 ;Book ;EC 23014B10;1;Main;
441;Encyclopaedia universalis index 2 ;Book ;EC 23018B10;1;Main;
442;Encyclopaedia universalis 8 ;Book ;EC 23015B10;1;Main;
443;Encyclopaedia universalis 16 ;Book ;EC 23007B10;1;Main;
444;Comment Se Faire Des Amis (Le Livre de Poche) (FrenchEdition);Book ;ISBN: 2253009105ISBN_13: 9782253009108;DP 19010B7;4;Main
445;Algäbre ;Book ;ISBN_13: 9782100720200 ;MA 6006B3;1;Main
446;L'ENCYCLOPEDIE GROLIER 1 ;Book ;EC 23055B10;1;Main;
447;LES TECHNIQUES DE SONDAGE ;Book ;ISBN_13: 9782710808473 ;MA 6048B3;1;Main
448;Introduction Ö la microÇconomie ;Book ;ISBN_13: 9782357452664 ;EF 10013B3;2;Main
449;L'ENCYCLOPEDIE GROLIER 2 ;Book ;EC 23061B10;1;Main;
450;L'ENCYCLOPEDIE GROLIER 3 ;Book ;EC 23062B10;1;Main;
451;L'ENCYCLOPEDIE GROLIER 4 ;Book ;EC 23063B10;1;Main;
452;Python 3 - Les fondamentaux du langage ;Book ;ISBN_13: 9782746088597 ;IT 8018B3;1;Main
453;L'ENCYCLOPEDIE GROLIER 5 ;Book ;EC 23064B10;1;Main;
454;L'ENCYCLOPEDIE GROLIER 6 ;Book ;EC 23065B10;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:5 3/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
455;EQUILIBRIUM AND NONEQUILIBRIUM STATISTICALMECHANICS;Book ;PH 1805B1;1;Main;
456;L'ENCYCLOPEDIE GROLIER 7 ;Book ;EC 23066B10;1;Main;
457;Encyclopaedia universalis 6 ;Book ;EC 23013B10;1;Main;
458;Encyclopaedia universalis universalia 1986 ;Book ;EC 23022B10;1;Main;
459;Encyclopaedia universalis universalia 1987 ;Book ;EC 23023B10;1;Main;
459;CEUX DES HAUTES VALLEES ;Book ;FR 16021B5;1;Main;
460;Encyclopaedia universalis 9 ;Book ;EC 23016B10;1;Main;
461;Encyclopaedia universalis 12 ;Book ;EC 23003B10;1;Main;
462;WEBSTER NEW COLLEGIATE DICTIONARY ;Book ;DI 24008B10;1;Main;
463;L'ENCYCLOPEDIE GROLIER 8 ;Book ;EC 23067B10;1;Main;
464;L'ENCYCLOPEDIE GROLIER 9 ;Book ;EC 23068B10;1;Main;
465;L'ENCYCLOPEDIE GROLIER 10 ;Book ;EC 23056B10;1;Main;
466;L'ENCYCLOPEDIE GROLIER 11 ;Book ;EC 23057B10;1;Main;
467;L'ENCYCLOPEDIE GROLIER 12 ;Book ;EC 23058B10;1;Main;
468;10 raisons pour une transition energetique participativeau maroc;Book ;EN 3001B2;1;Main;
469;L'ENCYCLOPEDIE GROLIER 14 ;Book ;EC 23059B10;1;Main;
470;L'ENCYCLOPEDIE GROLIER 15 ;Book ;EC 23060B10;1;Main;
471;A guide to feynman diagrams in the many-body problem ;Book ;PH 1851B1;1;Main;
472;information theory and statistics ;Book ;MA 6039B3;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:5 4/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
473;histoire de l'afrique ;Book ;ISBN: 2852583887 ;HP 20013B8;1;Main
474;LA NATURE 1 ;Book ;EC 23041B10;1;Main;
475;LA NATURE 2 ;Book ;EC 23047B10;1;Main;
476;EAU ET HABITAT : ingÇnierie en santÇ publique dans lessituations de conflit armÇ 1983-2013;Book ;SM 5002B2;1;Main;
477;LA NATURE 3 ;Book ;EC 23048B10;1;Main;
477;LA NATURE 7 ;Book ;EC 23052B10;1;Main;
478;LA NATURE 4 ;Book ;EC 23049B10;1;Main;
478;LA NATURE 6 ;Book ;EC 23051B10;1;Main;
479;LA NATURE 5 ;Book ;EC 23050B10;1;Main;
480;LA NATURE 8 ;Book ;EC 23053B10;1;Main;
481;LA NATURE 9 ;Book ;EC 23054B10;1;Main;
482;The New Encyclopaedia Britannica - Micropaedia 2 ;Book ;EC 23092B10;1;Main;
483;LA NATURE 10 ;Book ;EC 23042B10;1;Main;
484;LA NATURE 11 ;Book ;EC 23043B10;1;Main;
485;LA NATURE 12 ;Book ;EC 23044B10;1;Main;
485;Understanding Physics ;Book ;ISBN_13: 9780471975540 ;DM 27118B9;1;Main
486;LA NATURE 13 ;Book ;EC 23045B10;1;Main;
487;The New Encyclopaedia Britannica - Micropaedia 3 ;Book ;EC 23093B10;1;Main;
488;LA NATURE 14 ;Book ;EC 23046B10;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:5 5/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
489;The New Encyclopaedia Britannica - Macropaedia 14 ;Book ;EC 23072B10;1;Main;
490;The New Encyclopaedia Britannica - Macropaedia 15 ;Book ;EC 23073B10;1;Main;
491;The New Encyclopaedia Britannica - Macropaedia 16 ;Book ;EC 23074B10;1;Main;
492;The New Encyclopaedia Britannica - Macropaedia 17 ;Book ;EC 23075B10;1;Main;
493;The New Encyclopaedia Britannica - Macropaedia 18 ;Book ;EC 23076B10;1;Main;
494;The New Encyclopaedia Britannica - Macropaedia 19 ;Book ;EC 23077B10;1;Main;
495;The New Encyclopaedia Britannica - Macropaedia 20 ;Book ;EC 23078B10;1;Main;
496;The New Encyclopaedia Britannica - Macropaedia 21 ;Book ;EC 23079B10;1;Main;
? Page 5 of 20, showing 100 records out of 1942 total, starting on record 401, ending on 500;;;;;;
;;;;;;
04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:5 6/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
497;The New Encyclopaedia Britannica - Macropaedia 22 ;Book ;EC 23080B10;1;Main;
498;The New Encyclopaedia Britannica - Macropaedia 23 ;Book ;EC 23081B10;1;Main;
499;The New Encyclopaedia Britannica - Macropaedia 24 ;Book ;EC 23082B10;1;Main;
500;The New Encyclopaedia Britannica - Macropaedia 25 ;Book ;EC 23083B10;1;Main;
501;The New Encyclopaedia Britannica - Macropaedia 26 ;Book ;EC 23084B10;1;Main;
502;The New Encyclopaedia Britannica - Macropaedia 27 ;Book ;EC 23085B10;1;Main;
503;The New Encyclopaedia Britannica - Micropaedia 5 ;Book ;EC 23095B10;1;Main;
504;The New Encyclopaedia Britannica - Macropaedia 28 ;Book ;EC 23086B10;1;Main;
505;The New Encyclopaedia Britannica - Macropaedia 29 ;Book ;EC 23087B10;1;Main;
506;The New Encyclopaedia Britannica - Micropaedia 6 ;Book ;EC 23096B10;1;Main;
507;The New Encyclopaedia Britannica - Micropaedia 7 ;Book ;EC 23097B10;1;Main;
508;The New Encyclopaedia Britannica - Propaedia ;Book ;EC 23100B10;1;Main;
509;The New Encyclopaedia Britannica - Index A-K ;Book ;EC 23069B10;1;Main;
510;The New Encyclopaedia Britannica - Index L-Z ;Book ;EC 23070B10;1;Main;
511;La Grande EncyclopÇdie Du Maroc - Sport et Education ;Book ;EC 23039B10;1;Main;
512;La Grande EncyclopÇdie Du Maroc - Histoire ;Book ;EC 23036B10;1;Main;
513;La Grande EncyclopÇdie Du Maroc - Flore ;Book ;EC 23033B10;1;Main;
514;La Grande EncyclopÇdie Du Maroc - Faune ;Book ;EC 23032B10;1;Main;
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:6 1/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
515;La Grande EncyclopÇdie Du Maroc - Geographie Humaine ;Book ;EC 23034B10;1;Main;
516;La Grande EncyclopÇdie Du Maroc - Geographie Physique ;Book ;EC 23035B10;1;Main;
517;La Grande EncyclopÇdie Du Maroc - INDEX ;Book ;EC 23037B10;1;Main;
518;La Grande EncyclopÇdie Du Maroc - Agriculture et Peche ;Book ;EC 23030B10;1;Main;
519;Encyclopaedia universalis symposium les chiffres dumonde;Book ;EC 23020B10;1;Main;
520;Encyclopaedia universalis 14 ;Book ;EC 23005B10;1;Main;
521;La Grande EncyclopÇdie Du Maroc - Institutions ;Book ;EC 23038B10;1;Main;
522;Encyclopaedia universalis 13 ;Book ;EC 23004B10;1;Main;
523;La Grande EncyclopÇdie Du Maroc - Economie ;Book ;EC 23031B10;1;Main;
524;Encyclopaedia universalis 15 ;Book ;EC 23006B10;1;Main;
525;Encyclopaedia universalis index 3 ;Book ;EC 23019B10;1;Main;
526;Encyclopaedia universalis 10 ;Book ;EC 23002B10;1;Main;
527;Encyclopaedia universalis corpus ;Book ;EC 23017B10;1;Main;
528;Encyclopaedia universalis 2 ;Book ;EC 23010B10;1;Main;
529;Le memorial du Maroc - Volume 2 ;Book ;HP 20034B8;1;Main;
530;Encyclopaedia universalis 18 ;Book ;EC 23009B10;1;Main;
530;Le memorial du Maroc - Volume 5 ;Book ;HP 20037B8;1;Main;
530;Encyclopaedia universalis 18 ;Book ;1;Main;;
531;Le memorial du Maroc - Volume 6 ;Book ;HP 20038B8;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:6 2/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
532;Le memorial du Maroc - Volume 7 ;Book ;HP 20039B8;1;Main;
533;EncyclopÇdie Des Sciences de L'Homme - L'organisation dela planäte 2;Book ;EC 23024B10;1;Main;
534;EncyclopÇdie Des Sciences de L'Homme - L'organisation dela planäte 3;Book ;EC 23025B10;1;Main;
535;EncyclopÇdie Des Sciences de L'Homme - L'organisation dela planäte 4;Book ;EC 23026B10;1;Main;
536;EncyclopÇdie Des Sciences de L'Homme - L'organisation dela planäte 5;Book ;EC 23027B10;1;Main;
537;EncyclopÇdie Des Sciences de L'Homme - L'organisation dela planäte 6;Book ;EC 23028B10;1;Main;
538;Nuclear interactions ;Book ;DM27054 B9;1;Main;
539;Beta decay ;Book ;DM27017 B9;1;Main;
540;the art of scientific investigation ;Book ;ISBN: 3947012891 ;SH 18039B6;1;Main
541;CARDIOVASCULAR SURVEY METHODS ;Book ;BI 4002B2;1;Main;
542;Quantum physics : berkeley physics course - volume 4 ;Book ;PH 1423B1;1;Main;
543;solutions and instantons : an introduction to solutions andinstantons in quantum physics;Book ;PH 1427B1;1;Main;
544;advanced quantum mechanics by R.H. Good, JR. ;Book ;PH 1401B1;1;Main;
545;Quantum mechanics of one- and two-electron atoms ;Book ;DM27084 B9;1;Main;
546;The stress of life ;Book ;ISBN: 0070562121 ;DP 19085B7;1;Main
547;Nuclear theory ;Book ;PH 1293B1;1;Main;
548;The structure of matter : a survey of modern physics ;Book ;PH 1885B1;1;Main;
549;Physics For Scientists And Engineers ;Book ;ISBN_13: 9780132311762 ;PH 1062B1;1;Main
550;Principles of modern physics ;Book ;DM27069 B9;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:6 3/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
551;Current topics in theoretical physics ;Book ;ISBN: 9810220421 ;PH 1856B1;1;Main
552;PHYSICS Classical and Modern ;Book ;ISBN_13: 9780071126748 ;PH 1063B1;1;Main
553;Theorical nuclear physics - volume 1 : nuclear structure ;Book ;DM27113 B9;1;Main;
554;Introductory Physics (A SUPPRIMER) ;Book ;ISBN_13: 9780139546372 ;DM27041 B9;1;Main
555;Electricity and magnetism ;Book ;DM27026 B9;1;Main;
556;QCD, Lightcone Physics and Hadron Phenomenology ;Book ;ISBN_13: 9789810233853 ;PH 1279B1;1;Main
557;MAD ABOUT PHYSICS ;Book ;ISBN_13: 9780471569619 ;PH 1863B1;1;Main
558;STUDENTS SOLUTIONS MANUAL FOR ZILL'S ;Book ;ISBN_13: 9780534955786 ;MA 6081B3;1;Main
559;GAUGE THEORIES in High Energy Physics - Part 1 ;Book ;PH 1862B1;1;Main;
560;group symmetries in nuclear structure ;Book ;ISBN: 0306310430 ;PH 1259B1;1;Main
561;Relativistic quantum Mechanics ;Book ;DM27090 B9;1;Main;
562;A Dictionary Of Synonyms And Antonyms ;Book ;DI 24001B10;1;Main;
563;The analects of confucius ;Book ;ISBN: 394701739 ;DP 19080B7;1;Main
564;Physics for everyone : book 1 ;Book ;ISBN: 503001697X ;PH 1872B1;1;Main
565;Nuclear self-consistent fields ;Book ;DM27055 B9;1;Main;
566;Quantum mechanics ;Book ;DM27081 B9;1;Main;
567;Quantum collision theory - volume 1 ;Book ;ISBN: 0444852336 ;DM27076 B9;1;Main
568;QUANTUM MECHANICS (Non-Relativiste Theory) ;Book ;DM27082 B9;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:6 4/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
569;WEBSTER'S NEW WORLD DICTIONARY of the Americanlanguage;Book ;DI 24009B10;1;Main;
570;PRINCIPLES OF Instrumental Analysis ;Book ;ISBN_13: 9780030753985 ;PH 1877B1;1;Main
571;Relativistic Quantum Mechanics Wave Equations ;Book ;DM27091 B9;1;Main;
572;QUANTUM PHYSICS ;Book ;ISBN_13: 9780471857372 ;DM27085 B9;1;Main
572;Advanced quantum theory ;Book ;DM27006 B9;1;Main;
573;advanced quantum mechanics by R.H. Good, JR. ;Book ;PH 1401B1;2;Main;
574;Kenya - Service Provision Assessment (SPA) 2010 ;Book ;HP 20020B8;1;Main;
575;An introduction to quarks and partons ;Book ;DM27014 B9;1;Main;
576;SymÇtries Et Physique NuclÇaire ;Book ;PH 1284B1;1;Main;
577;High energy physics ;Book ;DM27034 B9;1;Main;
578;Health, United States, 2010 (with Special Feature on Deathan Dying);Book ;SM 5005B2;1;Main;
579;Quantum mechanics volume 1 : fundamentals ;Book ;PH 1421B1;1;Main;
580;La Matiere Nucleaire Dans Tous Ses Etats ;Book ;SH 18017B6;1;Main;
581;premier cours de topologie : chapitres gÇomÇtriques ;Book ;MA 6068B3;1;Main;
582;PRINCIPLES OF STATISTICS, Traditional And Bayesian ;Book ;MA 6069B3;1;Main;
583;Dictionary of Epidemiology (Oxford Medical Publications) ;Book ;ISBN: 0195032578ISBN_13: 9780195032574;DI 24003B10;1;Main
584;Multivariate analysis of variance (MANOVA): A practicalguide to its use in scientific decision-making;Book ;ISBN: 0817301429ISBN_13: 9780817301422;DP 19057B7;1;Main
585;Inner-City Poverty in the United States ;Book ;ISBN: 0309042798ISBN_13: 9780309042796;LA 17023B5;1;Main
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:6 5/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
586;PHYSIQUE CONCOURS GRANDES ECOLES. Exercices aveccorrigÇs;Book ;ISBN: 2711742199ISBN_13: 9782711742196;DM27067 B9;1;Main
587;METHODS OF THEORETICAL PHYSICS - PART 1 ;Book ;DM27052 B9;1;Main;
588;HOW TO GET CONTROL OF YOUR TIME AND YOUR LIFE ;Book ;ISBN: 0451167724 ;DP 19022B7;1;Main
589;ADVANCED CALCULUS FOR APPLICATIONS ;Book ;MA 6003B3;1;Main;
590;Cells: Principles of Molecular Structure and Function (TheJones and Bartlett series in biology);Book ;ISBN: 0867200928ISBN_13: 9780867200928;BI 4003B2;1;Main
591;ESSENTIAL QUANTUM PHYSICS ;Book ;ISBN_13: 9788988247082 ;PH 1405B1;1;Main
592;Physics ;Book ;ISBN: 0070339090ISBN_13: 9780070339095;PH 1870B1;1;Main
593;Clinical Epidemiology: The Architecture of ClinicalResearch;Book ;ISBN: 072161308XISBN_13: 9780721613086;BI 4004B2;1;Main
? Page 6 of 20, showing 100 records out of 1942 total, starting on record 501, ending on 600;;;;;;
;;;;;;
04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:6 6/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
594;Physics 5e TB ;Book ;ISBN: 047135581XISBN_13: 9780471355816;PH1871B1;1;Main
595;Making Sense of Data: A Self-Instruction Manual on theInterpretation of Epidemiological Data;Book ;ISBN: 0195050932ISBN_13: 9780195050936;IT 8012B3;1;Main
596;Quantum collision theory - volume 2 ;Book ;ISBN: 0444852344 ;DM27077B9;1;Main
597;Quantum Field Theory ;Book ;ISBN_13: 6100521469462 ;PH1434B1;1;Main
598;RELATIVISTIC KINEMATICS ;Book ;ISBN: 080533601X ;DM27143B9;1;Main
599;PROBLEMS AND SOLUTIONS ON ELECTROMAGNETISM (MajorAmerican Universities PH.D. Qualifying Questions and S);Book ;ISBN: 9810206267ISBN_13: 9789810206260;PH1310B1;1;Main
600;Interacting Bosons in Nuclear Physics ;Book ;ISBN: 0306401908 ;PH1262B1;1;Main
601;Interpretation and Uses of Medical Statistics ;Book ;ISBN: 14600200ISBN_13: 9780632008643;SM5006B2;1;Main
602;Six Not-so-easy Pieces Book And Cd Package (Helix Books) ;Book ;ISBN: 0201150263ISBN_13: 9780201150261;DP19070B7;1;Main
603;Principles of Quantum Mechanics ;Book ;ISBN: 0198512082ISBN_13: 9780198512080;PH1415B1;1;Main
604;Classical and Statistical Thermodynamics ;Book ;ISBN: 0137792085ISBN_13: 9780137792085;PH 251B1;1;Main
605;Sears and Zemansky's University Physics With Modern Physics(Addison-Wesley Series in Physics);Book ;ISBN: 0201603365ISBN_13: 9780201603361;PH1883B1;1;Main
606;Guide for the Care and Use of Laboratory Animals: EighthEdition (Laboratory Safety);Book ;ISBN: 0309154006ISBN_13: 9780309154000;BI 4006B2;1;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
